# Auto-generated by generate_port_tracking.py
# Format: Kind | SourcePath | MappedPath | Status | Notes
Source | Source/GameClient/Drawable/Update/BeaconClientUpdate.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Drawable/Update/SwayClientUpdate.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Drawable.cpp | GameClient/src/drawable/drawable.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/DrawableManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Eva.cpp | GameClient/src/eva.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/FXList.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/AnimateWindowManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ChallengeGenerals.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBar.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarBeacon.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarCommand.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarCommandProcessing.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarMultiSelect.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarOCLTimer.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarObserver.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarPrintPositions.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarResizer.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarScheme.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarStructureInventory.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ControlBar/ControlBarUnderConstruction.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/DisconnectMenu/DisconnectMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/EstablishConnectionsMenu/EstablishConnectionsMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/ControlBarCallback.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/ControlBarPopupDescription.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Diplomacy.cpp | GameClient/src/gui/callbacks/diplomacy.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/ExtendedMessageBox.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/GeneralsExpPoints.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/IMECandidate.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/InGameChat.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/InGamePopupMessage.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/ChallengeMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/CreditsMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/DifficultySelect.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/DisconnectWindow.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/DownloadMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/EstablishConnectionsWindow.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/GameInfoWindow.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/KeyboardOptionsMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/LanGameOptionsMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/LanLobbyMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/LanMapSelectMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/MainMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/MapSelectMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/NetworkDirectConnect.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/OptionsMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/PopupCommunicator.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/PopupHostGame.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/PopupJoinGame.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/PopupLadderSelect.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/PopupPlayerInfo.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/PopupReplay.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/QuitMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/SinglePlayerMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/SkirmishGameOptionsMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/SkirmishMapSelectMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLBuddyOverlay.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLCustomScoreScreen.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLGameSetupMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLLadderScreen.cpp | - | MISSING | subsystem=GameClient
